#{"t_start": 1736235444.0321534, "env_id": "highway-v0"}
r,l,t
1.87209,3,1.114678
27.732546,34,13.151229
10.026542,12,17.315431
5.646253,7,19.831495
11.837681,15,25.030787
25.953407,37,38.233373
12.828637,15,43.42385
13.39291,17,49.392151
9.973321,13,54.032981
4.8,7,56.560421
37.331858,54,75.652308
17.910767,25,84.562117
7.202596,9,87.709182
16.134022,21,95.466065
3.939075,5,97.187519
12.37833,14,102.219706
9.906517,11,106.151755
12.771184,16,112.043764
10.239185,12,116.320501
4.50438,6,118.415191
5.738842,8,121.181194
31.408207,38,134.655055
4.719188,6,136.75773
9.136677,12,141.053625
7.739851,9,144.344356
26.199299,35,156.618506
6.505852,8,159.501429
40.872621,54,178.268557
21.021674,29,190.336649
12.560087,16,197.305778
13.704348,17,204.666215
5.474254,7,207.311749
15.635675,21,215.870936
2.870011,4,217.924821
20.104357,24,228.095974
6.505852,8,231.319939
9.842249,12,235.806443
6.53248,9,239.353817
7.202614,9,242.931611
8.299185,12,247.812215
9.905966,11,251.631153
4.639189,6,253.84896
5.157633,7,256.311451
17.570105,24,264.981814
4.272402,6,267.046709
12.730066,15,272.473039
6.873184,8,275.272279
8.10451,10,279.481135
11.251023,13,284.547731
12.57345,16,291.298252
11.735386,14,297.529967
3.705875,5,299.991132
41.398253,58,6995.547954
14.629816,20,7005.814002
93.165547,131,7064.285232
4.639189,6,7066.382919
12.359313,14,7071.247249
6.027481,9,7074.430347
21.675133,28,7084.021913
13.223168,15,7089.269635
5.862108,8,7091.977234
7.511713,9,7095.29486
7.123334,10,7098.724944
9.444679,13,7103.240098
7.588821,9,7106.369637
10.270658,13,7110.942051
6.69218,9,7114.18623
6.543423,8,7116.953752
6.260476,8,7119.698339
10.90333,15,7124.954368
5.839988,8,7127.751791
12.563426,17,7133.557112
12.127134,16,7139.07714
7.709273,11,7142.875912
4.538804,6,7144.903473
4.795421,6,7146.922996
6.106678,9,7149.962517
8.910548,12,7154.241525
14.069742,15,7159.572255
5.491749,7,7162.007804
14.388448,18,7168.521031
24.065172,34,7180.379411
6.772519,8,7183.186215
10.827458,15,7188.326327
11.801495,14,7193.091167
9.090137,12,7197.272136
21.927165,25,7205.917503
37.125952,51,7223.690729
11.328797,16,7229.40685
5.643765,7,7231.866462
63.043945,83,7261.041293
3.972523,5,7262.812074
13.777173,19,7269.470575
174.738091,252,7356.443632
6.202741,7,7358.898102
11.310552,15,7364.024365
7.017302,9,7367.21719
5.838489,8,7370.166561
8.222948,10,7373.646076
31.145435,44,7388.845368
9.002699,13,7393.342437
9.246316,12,7397.603078
45.494148,60,7418.145558
7.772633,9,7421.26577
8.644524,10,7424.83571
4.8,7,7427.339714
12.807549,17,7433.360646
15.088669,18,7439.751196
2.52212,4,7441.119388
18.047811,25,7449.865941
8.045047,10,7453.267604
6.294147,10,7456.685553
48.60468,69,7480.929589
5.172656,7,7483.461783
15.47114,18,7489.601279
7.339425,9,7492.749774
11.64621,15,7498.051911
14.360134,21,7505.392179
7.193809,9,7508.491154
28.528652,40,7522.263037
4.795421,6,7524.534595
10.996663,14,7529.551064
22.290254,26,7538.508433
5.928638,7,7540.870381
7.571715,10,7544.307129
7.156764,9,7547.538023
22.207195,31,7558.169574
19.56855,26,7567.001243
10.906009,15,7572.105167
6.371024,8,7574.884734
4.160658,6,7576.935518
