#{"t_start": 1736104497.2171724, "env_id": "highway-v0"}
r,l,t
17.847732,21,8.019462
58.756807,84,40.794275
93.737346,126,89.413034
211.293467,300,202.767508
154.060815,232,297.265664
139.204681,193,380.610398
163.827466,241,484.125936
114.53803,154,549.357535
143.270677,201,631.203085
9.394148,15,637.014671
221.860686,300,755.124426
22.929577,30,767.10949
102.760815,137,821.22935
110.503897,155,882.963954
210.027481,300,1001.708719
208.460815,300,1124.029578
36.694148,56,1147.464034
213.704678,300,1268.89827
9.560811,13,1274.097731
30.560799,41,1290.443426
77.837858,109,1335.343123
200.794148,300,1456.597709
99.188791,141,1514.341287
60.294148,82,1547.753733
42.14011,60,1572.400982
40.46291,51,1592.461869
10.36081,13,1597.377585
45.496228,61,1621.222613
50.804696,72,1651.060966
74.329511,104,1693.179626
8.005446,10,1697.152283
103.456788,146,1754.360884
157.138764,221,1841.739283
16.826911,23,1850.499675
55.111217,71,1878.021775
102.229322,142,1932.235696
224.560815,300,2051.844408
100.360696,140,2111.381982
16.870694,21,2120.142572
217.794132,300,2245.597793
222.394129,300,2371.874264
222.960815,300,2498.620747
48.694148,72,2528.874053
156.756902,207,2612.208904
215.660134,300,2730.895224
32.396223,44,2748.60436
78.13801,104,2789.888144
7.73736,10,2793.943383
221.623588,300,2909.212734
222.694148,300,3024.325415
192.938014,284,3133.142138
72.560815,100,3171.698352
200.027481,300,3287.940812
200.027481,300,3401.456235
113.327481,158,3461.841169
214.523572,300,3576.299377
224.593466,300,3691.193291
200.027481,300,3805.328603
201.027481,300,3919.293788
