#{"t_start": 1736202398.8018105, "env_id": "highway-v0"}
r,l,t
13.531921,15,2.536957
44.791536,47,10.371651
13.857913,18,13.353078
14.061299,16,15.981067
19.130343,21,19.396931
21.562275,23,23.163914
76.274166,94,39.055851
21.228753,25,43.206212
37.664898,40,49.868409
30.320845,32,55.249364
19.797159,22,58.847365
34.948466,42,65.970072
6.431693,8,67.277193
17.634837,19,70.338797
25.327481,34,75.878385
28.673261,31,81.001019
30.715362,34,86.760531
12.635658,14,89.058611
11.8034,13,91.186853
276.38172,300,140.794266
269.527064,300,190.445738
26.129279,28,195.046269
19.056772,21,198.551302
53.386357,66,209.727573
1.306655,2,210.066067
27.318246,30,214.988471
4.769871,6,215.95596
46.543467,53,224.806945
8.005852,9,226.271073
50.595937,53,235.009156
192.355476,205,268.877888
3.595327,5,269.739229
18.354618,23,273.562122
65.132173,77,286.386978
8.684613,10,288.083852
92.407451,108,306.410363
29.111801,33,311.971093
111.59669,128,333.534361
13.390086,16,336.143615
1.27209,2,336.478645
83.92248,99,353.007661
5.005856,6,353.984965
3.688673,5,354.799512
18.630162,20,358.169282
4.704618,6,359.134033
53.154295,58,368.63928
38.793124,41,375.329905
63.422726,72,387.125127
28.66042,31,392.290058
59.244114,73,404.176097
40.646254,43,411.320622
