#{"t_start": 1736071445.68637, "env_id": "highway-v0"}
r,l,t
23.564774,31,8.300017
27.664662,37,17.092417
22.30533,30,23.263303
41.447811,57,37.653944
87.736508,118,63.405165
12.066667,15,67.073848
13.026659,17,70.660145
114.424266,151,103.870098
17.758514,24,110.329072
24.694125,34,119.13767
14.494011,21,124.365445
27.027481,37,133.895097
27.294148,37,142.170094
12.711351,17,145.266311
48.662887,64,159.936584
29.709846,40,169.547435
55.070784,73,186.488895
32.790121,43,196.163111
18.171265,23,201.096091
46.694148,62,216.39268
13.368082,17,220.334206
11.92716,15,225.00316
24.404696,32,233.585279
13.670443,17,236.842521
121.855029,164,274.341582
2.8,4,275.005244
4.795421,6,276.179086
13.796243,19,280.079762
60.192644,79,299.046234
22.24208,29,305.712523
76.604008,102,328.040825
2.554619,4,329.241514
93.266781,120,358.106795
19.003193,23,364.163751
32.194125,45,376.105053
22.304692,31,382.944707
6.902579,9,385.373296
27.465185,36,394.184625
39.502805,53,405.574104
9.63021,13,409.505107
30.472172,39,418.969816
18.667469,26,426.042356
4.393345,7,428.377906
26.826793,37,438.199801
25.0381,32,445.296186
67.364908,90,465.944459
42.492123,59,480.289524
64.265892,84,499.465792
50.39613,68,515.315938
54.454363,74,533.528687
9.350503,11,535.823536
6.97266,9,538.60224
221.871925,297,610.33412
21.957389,30,617.18043
7.627477,12,620.781815
20.293432,27,628.260188
127.427481,171,668.033118
2.673859,4,669.057781
34.997699,45,678.466032
26.493252,35,688.271523
225.992119,300,763.218156
221.025586,300,830.386555
179.189496,241,891.315298
224.169471,300,962.135855
8.69262,12,965.090206
105.576573,142,994.796394
225.494148,300,1069.047692
79.803985,108,1095.412349
224.560682,300,1168.854259
179.564889,242,1222.529062
220.924214,300,1292.110227
28.694148,40,1301.496634
222.427481,300,1368.39607
44.094148,61,1382.335625
221.627368,300,1457.279475
222.194015,300,1526.773263
42.187101,58,1540.802181
67.760814,93,1564.371987
64.827481,88,1584.692805
220.658923,300,1654.478512
5.694148,9,1656.548768
221.225982,300,1727.881855
221.960126,300,1799.569453
222.427481,300,1874.686706
2.258786,4,1875.457534
221.194125,300,1947.334454
221.724214,300,2011.912143
221.560126,300,2089.278528
82.360815,113,2114.418616
31.625457,44,2125.254349
6.627344,9,2127.20453
220.360126,300,2202.998371
221.492644,300,2273.629939
221.894148,300,2345.950629
221.192256,300,2413.491836
15.458923,22,2419.02279
